suburb,livable,UNIVERSITY,Commercial,Environment,Medication,Secrity,Transportation,BUS,TRAM STATION,TRAIN STATION
BEACONSFIELD,1.5500000000000003,0.0,0.0,3.0,0.0,0.0,25.0,24.0,0.0,1.0
BRIGHT,1.5500000000000003,0.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0
STRATFORD,1.5500000000000003,0.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0
ECHUCA,1.55,0.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0
WILLIAMS LANDING,1.5000000000000002,0.0,0.0,1.0,1.0,0.0,27.0,26.0,0.0,1.0
CARRUM,1.5000000000000002,0.0,0.0,0.0,1.0,0.0,29.0,28.0,0.0,1.0
DALLAS,1.5,0.0,1.0,2.0,0.0,0.0,20.0,20.0,0.0,0.0
WANGARATTA,1.5,0.0,1.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0
GEMBROOK,1.5,0.0,0.0,6.0,0.0,0.0,18.0,18.0,0.0,0.0
WARBURTON,1.4500000000000002,0.0,1.0,5.0,0.0,1.0,12.0,12.0,0.0,0.0
CAIRNLEA,1.4500000000000002,0.0,0.0,6.0,2.0,0.0,15.0,15.0,0.0,0.0
BENDIGO,1.4000000000000001,0.0,2.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0
NEWCOMB,1.4000000000000001,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
HAMILTON,1.4,0.0,1.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0
SPOTSWOOD,1.35,0.0,0.0,6.0,0.0,0.0,15.0,14.0,0.0,1.0
NORLANE,1.35,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0
CHADSTONE,1.3,0.0,0.0,2.0,1.0,0.0,21.0,21.0,0.0,0.0
KEALBA,1.3,0.0,0.0,3.0,0.0,0.0,20.0,20.0,0.0,0.0
IRYMPLE,1.3,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
RIPPLESIDE,1.2999999999999998,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
DEEPDENE,1.25,0.0,0.0,3.0,1.0,0.0,9.0,0.0,9.0,0.0
BENALLA,1.25,0.0,2.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0
QUEENSCLIFF,1.25,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
ALBANVALE,1.2000000000000002,0.0,0.0,3.0,0.0,0.0,18.0,18.0,0.0,0.0
HORSHAM,1.2000000000000002,0.0,1.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0
WENDOUREE,1.2000000000000002,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
CREMORNE,1.2000000000000002,0.0,0.0,1.0,2.0,1.0,10.0,0.0,9.0,1.0
KINGSBURY,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,21.0,18.0,3.0,0.0
WHITTLESEA,1.2000000000000002,0.0,0.0,0.0,0.0,1.0,23.0,23.0,0.0,0.0
BITTERN,1.2000000000000002,0.0,0.0,8.0,0.0,0.0,8.0,7.0,0.0,1.0
ASPENDALE,1.2,0.0,0.0,2.0,0.0,0.0,20.0,19.0,0.0,1.0
CAULFIELD EAST,1.2,1.0,0.0,0.0,1.0,0.0,14.0,10.0,3.0,1.0
GREAT WESTERN,1.2,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARYSVILLE,1.2,0.0,0.0,10.0,0.0,1.0,3.0,3.0,0.0,0.0
CAMPERDOWN,1.2,0.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0
SEAHOLME,1.2,0.0,0.0,9.0,0.0,0.0,6.0,5.0,0.0,1.0
KOOYONG,1.1500000000000001,0.0,0.0,5.0,0.0,0.0,7.0,0.0,6.0,1.0
PORTARLINGTON,1.15,0.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
ROSEDALE,1.15,0.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
WOLLERT,1.1,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0
