suburb,Education,Commercial,Environment,Medication,Secrity,Industrial,Prison,Transportation
HEPBURN SPRINGS,0,1,0,0,0,0,0,0
BERRINGAMA,0,1,0,0,0,0,0,0
LASCELLES,0,1,0,0,0,0,0,0
TARRANYURK,0,1,0,0,0,0,0,0
SWAN HILL WEST,1,0,1,0,0,0,0,0
NEILBOROUGH,1,0,0,0,0,0,0,0
COLAC EAST,1,0,0,0,0,0,0,0
NARING,1,0,0,1,0,0,0,0
LOWER NORTON,1,0,0,0,0,0,0,0
STRATHDALE,0,0,0,1,0,0,0,0
SOUTH WHARF,0,0,0,1,0,0,0,1
ESSENDON FIELDS,0,1,0,1,0,0,0,2
OCEAN GRANGE,0,1,1,0,0,0,0,0
WOOD WOOD,0,1,0,0,0,0,0,0
SNAKE ISLAND,0,5,3,0,0,0,0,0
SWAN BAY,0,1,1,0,0,0,0,0
BOOLE POOLE,0,1,6,0,0,0,0,0
SANDHILL LAKE,0,0,1,0,0,0,0,0
BALLANGEICH,0,0,1,0,0,0,0,0
WAL WAL,0,0,1,0,0,0,0,0
PEECHELBA,0,0,1,0,0,0,0,0
LAKE MARMAL,0,0,1,0,0,0,0,0
MYSIA,0,0,1,0,0,0,0,0
WATERLOO,0,0,1,0,0,0,0,0
YALCA,0,0,1,0,0,0,0,0
GRITJURK,0,0,0,0,1,0,0,0
SANDFORD,0,0,1,0,0,0,0,0
LUCYVALE,0,0,1,0,0,0,0,0
LOCH VALLEY,0,0,1,0,0,0,0,0
GLENISLA,0,0,1,0,0,0,0,0
BUCKLAND,0,0,3,0,0,0,0,0
MERRIANG SOUTH,0,0,1,0,0,0,0,0
BUFFALO RIVER,0,0,1,0,0,0,0,0
GRENVILLE,0,0,1,0,0,0,0,0
MOUNT DRYDEN,0,0,1,0,0,0,0,0
MOORMBOOL WEST,0,1,0,0,0,0,0,0
NORONG,0,1,0,0,0,0,0,0
TAMBOON,0,0,1,0,0,1,0,0
GOLDIE,0,0,0,0,0,1,0,0
NARIEL VALLEY,0,0,0,0,0,2,0,0
POINT WILSON,0,1,0,0,0,1,0,0
DUTSON DOWNS,0,0,0,0,0,1,0,0
FOSTERVILLE,0,0,0,0,0,1,0,0
FLYNNS CREEK,0,0,0,0,0,1,0,0
DELBURN,0,0,0,0,0,1,0,0
RIVERSLEA,0,0,0,0,0,1,0,0
VINIFERA,0,1,0,0,0,0,0,0
LAURISTON,0,1,0,0,0,0,0,0
GRAYTOWN,0,2,0,0,0,0,0,0
LAMPLOUGH,0,1,0,0,0,0,0,0
TOWER HILL,0,0,1,0,0,0,0,0
GELLIBRAND LOWER,0,0,5,0,0,0,0,0
WILSONS PROMONTORY,0,0,32,0,0,0,0,0
SILVERLEAVES,0,0,1,0,0,0,0,0
TAYLOR BAY,0,1,2,0,0,0,0,0
COONGULLA,0,0,4,0,0,0,0,0
GOUGHS BAY,0,0,1,0,0,0,0,0
GLENMAGGIE,0,0,2,0,0,0,0,0
BEARII,0,0,1,0,0,1,0,0
LAKE EPPALOCK,0,0,8,0,0,0,0,0
LAKE WELLINGTON,0,1,4,0,0,0,0,0
INDENTED HEAD,0,0,2,0,0,0,0,0
BANKSIA PENINSULA,0,0,2,0,0,0,0,0
DERRINAL,0,0,3,0,0,0,0,0
CHURCHILL ISLAND,0,0,1,0,0,0,0,0
THE COVE,0,0,4,0,0,0,0,0
HOWES CREEK,0,0,1,0,0,0,0,0
SUNDERLAND BAY,0,0,1,0,0,0,0,0
SWAN ISLAND,0,0,1,0,0,0,0,0
HOLLANDS LANDING,0,0,3,0,0,0,0,0
WARNEET,0,0,1,0,0,0,0,7
PERRY BRIDGE,0,0,1,0,0,0,0,0
FORGE CREEK,0,0,3,0,0,0,0,0
DUTSON,0,0,1,0,0,0,0,0
MOUNTAIN BAY,0,0,1,0,0,0,0,0
WELSHMANS REEF,0,0,1,0,0,0,0,0
CAPE BRIDGEWATER,0,0,3,0,0,0,0,0
YUULONG,0,0,4,0,0,0,0,0
YAMBUK,0,0,1,0,0,0,0,0
GOON NURE,0,0,1,0,0,0,0,0
WATTLE HILL,0,0,1,0,0,0,0,0
BROADLANDS,0,0,1,0,0,0,0,0
TIDAL RIVER,0,0,2,0,0,0,0,0
DRUMCONDRA,0,1,2,0,0,0,0,0
AVALON,0,2,0,0,0,0,0,0
BOOLARRA SOUTH,0,0,0,0,0,0,1,0
LANGI KAL KAL,0,0,0,0,0,0,1,0
GIPSY POINT,0,1,0,0,0,0,0,0
PARWAN,0,1,0,0,0,0,0,0
FULHAM,0,1,0,0,0,0,0,0
HENSLEY PARK,0,1,0,0,0,0,0,0
KELLALAC,0,1,0,0,0,0,0,0
YARPTURK,0,1,0,0,0,0,0,0
ADA,0,0,0,0,0,10,0,0
TANJIL,0,0,0,0,0,4,0,0
CARINGAL,0,0,0,0,0,8,0,0
REEDY CREEK,0,0,0,0,0,1,0,0
MCMAHONS CREEK,0,0,0,0,0,1,0,0
BROOKVILLE,0,0,0,0,0,1,0,0
GLOMAR BEACH,0,0,3,0,0,0,0,0
PETTICOAT CREEK,0,0,1,0,0,0,0,0
KILLARNEY,0,0,1,0,0,0,0,0
DARRIMAN,0,0,1,0,0,0,0,0
ST ANDREWS BEACH,0,0,1,0,0,0,0,5
SMITHS BEACH,0,0,1,0,0,0,0,0
BURRAMINE,0,0,13,0,0,0,0,0
CATUMNAL,0,0,10,0,0,0,0,0
ROBERTSONS BEACH,0,0,1,0,0,0,0,0
ULUPNA,0,0,4,0,0,0,0,0
BOOMAHNOOMOONAH,0,0,2,0,0,0,0,0
BAROOGA,0,0,4,0,0,0,0,0
BOOSEY,0,0,1,0,0,0,0,0
JAM JERRUP,0,0,1,0,0,0,0,0
HORDERN VALE,0,0,2,0,0,0,0,0
WALLAGARAUGH,0,0,1,0,0,0,0,0
RIPPONLEA,0,0,0,0,0,0,0,11
WATERWAYS,0,0,0,0,0,0,0,5
BELGRAVE HEIGHTS,0,0,0,0,0,0,0,9
CLEMATIS,0,0,0,0,0,0,0,4
TOTTENHAM,0,0,0,0,0,0,0,1
DANDENONG SOUTH,0,0,0,0,0,0,0,89
SOMERTON,0,0,0,0,0,0,0,11
GARDENVALE,0,0,0,0,0,0,0,9
SANDHURST,0,0,0,0,0,0,0,8
RAVENHALL,0,0,0,0,0,0,0,6
KEILOR NORTH,0,0,0,0,0,0,0,1
CANNONS CREEK,0,0,0,0,0,0,0,4
KINGLAKE WEST,0,0,0,0,0,0,0,2
SEVILLE EAST,0,0,0,0,0,0,0,2
GRANGEFIELDS,0,0,0,0,0,0,0,1
PAKENHAM UPPER,0,0,0,0,0,0,0,8
TARRAWARRA,0,0,0,0,0,0,0,2
BLIND BIGHT,0,0,0,0,0,0,0,11
JUNCTION VILLAGE,0,0,0,0,0,0,0,3
GOWANBRAE,0,0,0,0,0,0,0,16
WARRANDYTE SOUTH,0,0,0,0,0,0,0,4
