suburb,Education,Commercial,Environment,Medication,Secrity,Industrial,Prison,Transportation
CAULFIELD EAST,3,0,0,1,0,0,0,14
ELTHAM,12,1,14,4,1,0,0,53
NARRE WARREN,20,1,13,2,0,0,0,109
EUROA,4,1,0,0,1,0,0,0
SEAFORD,15,1,16,1,1,0,0,91
ELWOOD,9,1,5,0,1,0,0,44
DEER PARK,11,0,8,2,0,0,0,68
DOOKIE COLLEGE,3,0,0,0,0,0,0,0
MITCHAM,14,1,4,1,0,0,0,92
NUNAWADING,12,1,3,0,1,0,0,69
FRANKSTON NORTH,11,0,6,1,0,0,0,38
MONTMORENCY,9,0,2,1,0,0,0,30
MOOROOLBARK,21,1,3,1,1,0,0,66
PRINCES HILL,5,0,0,0,0,0,0,3
EAGLEHAWK,5,1,6,0,1,0,0,0
DONCASTER EAST,18,2,4,3,1,0,0,128
CARLTON,11,2,9,2,2,0,0,55
WESTMEADOWS,3,0,1,1,1,0,0,36
FLEMINGTON,8,1,4,1,1,0,0,18
WAURN PONDS,3,0,7,1,0,0,0,0
HAMPTON PARK,17,1,1,1,0,0,0,103
MOUNT MACEDON,3,0,1,0,0,0,0,0
AVONDALE HEIGHTS,7,1,1,0,1,0,0,42
LALOR,15,0,1,1,0,0,0,80
PRAHRAN,6,1,0,1,0,0,0,39
PYRAMID HILL,3,1,6,0,1,0,0,0
HASTINGS,7,2,16,2,1,0,0,26
SPRINGVALE SOUTH,15,0,0,1,0,0,0,49
HEATHMONT,9,0,9,4,0,0,0,20
BELLFIELD,3,0,5,0,0,0,0,12
ALBERT PARK,7,2,5,1,0,0,0,27
BEECHWORTH,7,1,1,1,1,0,0,0
DELAHEY,5,0,2,0,0,0,0,35
THOMSON,4,0,5,0,0,0,0,0
GISBORNE,7,1,1,1,1,0,0,0
GLADSTONE PARK,6,1,2,0,0,0,0,32
KOO WEE RUP,7,1,0,3,1,0,0,0
MONT ALBERT NORTH,6,0,0,0,0,0,0,36
HAMPTON,7,1,4,3,0,0,0,67
CRANBOURNE,16,2,2,3,1,0,0,63
EAST GEELONG,5,0,4,0,0,0,0,0
KEILOR DOWNS,6,0,7,1,0,0,0,44
LAKE BOLAC,3,1,2,1,1,0,0,0
DOREEN,7,0,0,1,0,0,0,89
MACLEOD,7,0,1,2,0,0,0,38
DIMBOOLA,6,1,2,1,1,0,0,0
BALLARAT CENTRAL,9,2,2,3,1,0,0,0
ROCHESTER,4,1,2,2,1,0,0,0
FOOTSCRAY,24,2,14,2,1,0,0,117
NUMURKAH,4,1,1,0,1,0,0,0
WOLLERT,4,0,0,0,0,0,0,22
THOMASTOWN,14,1,0,2,0,0,0,107
NORTHCOTE,11,1,12,0,1,0,0,108
SEA LAKE,3,1,1,1,1,0,0,0
ASHWOOD,6,0,3,0,0,0,0,31
MOOROOPNA,10,1,6,2,1,0,0,0
TOORAK,13,3,1,2,0,0,0,55
NHILL,6,2,0,2,1,0,0,0
ALPHINGTON,7,0,3,1,0,0,0,27
BELGRAVE,4,1,3,0,1,0,0,31
CAMBERWELL,11,2,14,5,1,0,0,145
MIDDLE PARK,2,0,0,0,0,0,0,23
NOORAT,3,1,1,0,0,0,0,0
GEELONG,5,6,9,1,1,0,0,0
BEACONSFIELD,7,0,3,0,0,0,0,25
DONALD,4,1,1,1,1,0,0,0
COHUNA,4,1,4,1,1,0,0,0
CRAIGIEBURN,22,0,6,1,0,0,0,163
UPPER FERNTREE GULLY,3,1,2,2,0,0,0,14
GOLDEN SQUARE,7,1,4,0,0,0,0,0
COLLINGWOOD,8,1,0,2,0,0,0,21
LONGERENONG,1,0,0,0,0,0,0,0
KANGAROO FLAT,6,0,4,0,0,0,0,0
KEILOR EAST,10,0,6,0,0,0,0,66
KINGSBURY,4,0,0,0,0,0,0,21
RED CLIFFS,12,2,8,1,1,0,0,0
YARRAVILLE,11,3,14,0,1,0,0,85
BLACKBURN SOUTH,14,1,1,0,0,0,0,42
FOREST HILL,6,2,0,1,0,0,0,52
HEYWOOD,4,1,2,1,1,0,0,0
KEALBA,3,0,3,0,0,0,0,20
BONBEACH,3,0,2,0,0,0,0,15
BOX HILL,11,2,3,2,1,0,0,84
BLACKBURN NORTH,9,0,2,0,0,0,0,42
DAYLESFORD,5,1,1,2,1,0,0,0
ROBINVALE,8,3,1,2,1,0,0,0
WYCHEPROOF,4,1,1,1,1,0,0,0
DERRINALLUM,3,1,1,0,0,0,0,0
WARRACKNABEAL,4,1,2,3,1,0,0,0
TERANG,5,1,5,2,1,0,0,0
WEDDERBURN,4,1,10,0,2,0,0,0
WHITTLESEA,7,0,0,0,1,0,0,23
LAKES ENTRANCE,5,2,6,1,1,0,0,0
KERRIE,2,0,0,0,0,0,0,0
KENNINGTON,7,0,1,0,0,0,0,0
SOUTH DUDLEY,1,0,0,0,0,0,0,0
SOUTH MORANG,10,0,1,0,0,1,0,97
ABBOTSFORD,5,2,1,0,1,0,0,26
BRAESIDE,2,0,1,0,0,0,0,35
NARRE WARREN SOUTH,12,0,1,1,0,0,0,109
KILMORE,7,1,0,4,1,0,0,0
ELSTERNWICK,12,1,0,0,1,0,0,55
MERBEIN SOUTH,3,0,1,0,0,0,0,0
MERBEIN WEST,1,0,0,0,0,0,0,0
NEERIM SOUTH,3,0,1,0,1,0,0,0
NEWCOMB,6,0,14,0,0,0,0,0
RUBICON,1,0,0,0,0,0,0,0
AIRPORT WEST,7,1,2,2,0,0,0,60
NOBLE PARK NORTH,8,0,0,0,0,0,0,37
NIDDRIE,3,1,0,0,0,0,0,31
OMEO,3,0,5,1,1,0,0,0
KEILOR LODGE,2,0,1,0,0,0,0,7
SYDENHAM,11,0,7,2,0,0,0,30
EMERALD,4,0,2,1,1,0,0,31
GROVEDALE,7,0,8,1,0,0,0,0
MENTONE,16,2,3,2,1,0,0,66
KORUMBURRA,4,1,5,2,1,0,0,0
LARA,7,0,18,0,1,0,0,0
NEWINGTON,3,0,1,0,0,0,0,0
CROYDON HILLS,3,0,5,0,0,0,0,16
HIGHETT,5,1,3,0,0,0,0,44
ESSENDON WEST,1,0,2,0,0,0,0,7
OAKLEIGH,6,3,0,2,1,0,0,63
BENALLA,13,2,5,2,1,0,0,0
WATSONIA,4,0,4,1,0,0,0,31
TABOR,1,0,0,0,0,0,0,0
BARANDUDA,3,0,5,0,0,0,0,0
SOMERVILLE,9,0,25,1,0,2,0,24
ST HELENA,4,0,2,0,0,0,0,12
BENTLEIGH,8,2,0,2,1,0,0,54
RUTHERGLEN,4,7,0,1,0,0,0,0
WALLAN,8,0,0,1,1,0,0,0
BULLEEN,13,2,3,2,0,0,0,52
TAYLORS LAKES,6,0,9,1,0,0,0,66
BALACLAVA,4,1,0,1,0,0,0,9
HALLORA,2,0,0,0,0,0,0,0
HAZELWOOD,2,0,3,0,0,0,0,0
MOUNT HELEN,4,0,0,0,0,0,0,0
JUNORTOUN,1,0,0,0,0,0,0,0
NEWHAVEN,2,0,0,0,0,0,0,0
MALLACOOTA,4,5,23,0,1,0,0,0
WERRIBEE SOUTH,2,0,5,0,0,0,0,14
SWIFTS CREEK,5,1,1,0,1,0,0,0
LANGWARRIN SOUTH,1,0,0,0,0,0,0,17
DIAMOND CREEK,12,0,6,2,1,0,0,43
OAKLEIGH SOUTH,7,0,2,1,0,0,0,72
WARRAGUL SOUTH,1,0,0,0,0,0,0,0
HAVEN,4,0,0,0,0,0,0,0
SHEPPARTON NORTH,3,0,0,0,0,0,0,0
MAFFRA,7,1,7,1,1,0,0,0
RHYLL,1,0,5,0,0,0,0,0
COOLAROO,6,0,1,0,0,0,0,41
MERNDA,6,0,0,0,0,0,0,64
COLBINABBIN,4,0,0,0,0,0,0,0
ALFREDTON,4,0,4,1,0,0,0,0
BIRCHIP,3,1,2,0,1,0,0,0
DONNYBROOK,2,0,2,0,0,0,0,4
HOPETOUN,6,2,1,1,1,0,0,0
APOLLO BAY,3,2,3,1,1,0,0,0
LAVERTON,10,1,12,1,1,0,0,22
MACEDON,3,0,2,1,1,0,0,0
LENEVA,2,0,2,0,0,0,0,0
SASSAFRAS,3,0,1,0,0,0,0,10
WARRANWOOD,4,0,3,1,0,0,0,21
LUCKNOW,2,0,1,0,0,0,0,0
LORNE,2,2,11,2,0,0,0,0
IVANHOE,11,1,5,2,0,0,0,63
MELTON,7,1,19,2,1,0,0,57
KIMBOLTON,1,1,7,0,0,0,0,0
WERRIMULL,2,1,1,0,1,0,0,0
MOUNT MARTHA,7,1,42,0,0,0,0,79
HOWQUA,1,0,0,0,0,0,0,0
ARMADALE,10,1,1,3,0,0,0,55
AIREYS INLET,1,0,1,0,0,0,0,0
TUBBUT,2,0,0,0,0,0,0,0
BRIGHT,3,1,12,0,1,0,0,0
MANOR LAKES,2,0,2,1,0,0,0,32
TEDDYWADDY WEST,1,0,0,0,0,0,0,0
RINGWOOD EAST,10,1,8,3,0,0,0,25
BANNOCKBURN,2,0,0,0,1,0,0,0
TRAVANCORE,4,0,1,1,0,0,0,10
CANN RIVER,3,1,3,0,1,0,0,0
DINGEE,2,0,2,0,0,0,0,0
BARINGHUP WEST,1,0,0,0,0,0,0,0
NORLANE,13,0,13,0,1,0,0,0
RUSHWORTH,3,1,0,2,1,0,0,0
GOROKE,3,1,1,0,1,0,0,0
RAINBOW,3,1,2,0,1,0,0,0
TIMBOON,2,1,4,1,1,0,0,0
MANANGATANG,2,0,0,1,1,0,0,0
MONTROSE,5,0,4,0,0,0,0,40
ORMOND,9,1,2,0,0,0,0,35
CLARETOWN,2,0,0,0,0,0,0,0
HEYFIELD,4,1,4,0,1,0,0,0
DUNKELD,2,0,2,0,1,0,0,0
WILLIAMSTOWN NORTH,1,0,3,0,0,0,0,7
HEIDELBERG HEIGHTS,4,0,3,2,1,0,0,39
GLEN IRIS,13,1,20,0,0,0,0,77
CROXTON EAST,1,0,0,0,0,0,0,0
LUCAS,2,0,1,0,0,0,0,0
IVANHOE EAST,4,0,2,0,0,0,0,20
DON VALLEY,2,0,1,0,0,0,0,0
BOTANIC RIDGE,2,0,0,0,0,0,0,17
SOMERS,2,0,14,0,0,0,0,23
ESSENDON NORTH,3,1,0,0,0,0,0,21
ROSANNA,6,1,2,1,0,0,0,43
MINERS REST,1,0,0,0,0,0,0,0
KALKEE,2,0,1,0,0,0,0,0
IRREWARRA,1,0,1,0,0,0,0,0
STRATHTULLOH,1,0,4,0,0,0,0,6
DEANSIDE,1,0,0,0,0,0,0,2
LORQUON,1,0,0,0,0,0,0,0
SWAN MARSH,1,0,0,0,0,0,0,0
RICH AVON WEST,1,0,0,0,0,0,0,0
CRESWICK,4,1,3,1,1,0,0,0
CROWLANDS,1,0,0,0,0,0,0,0
BURNSIDE,1,0,7,0,0,0,0,19
ALLANSFORD,3,0,1,0,0,0,0,0
BADGER CREEK,2,0,2,0,0,0,0,6
BALNARRING,2,0,8,1,0,0,0,4
FRESHWATER CREEK,2,0,0,0,0,0,0,0
WARBURTON,2,1,5,0,1,1,0,12
CLIFTON HILL,4,0,7,0,0,0,0,20
KANGAROO GROUND,2,0,0,0,0,1,0,14
KATANDRA WEST,2,0,0,0,0,0,0,0
BAYNTON,1,1,0,0,0,0,0,0
BAYSWATER NORTH,4,0,4,3,0,0,0,67
BEACONSFIELD UPPER,3,0,3,0,0,0,0,0
ANTWERP,1,0,0,0,0,0,0,0
APPIN SOUTH,1,0,0,0,0,0,0,0
BOINKA,1,0,0,0,0,0,0,0
RAGLAN,1,0,11,0,0,0,0,0
MINYIP,4,0,0,1,1,0,0,0
BESSIEBELLE,1,0,0,0,0,0,0,0
BEVERFORD,1,2,0,0,0,0,0,0
POOLAIJELO,2,0,0,0,0,0,0,0
PORTLAND NORTH,1,0,0,0,0,0,0,0
NULLAWARRE,4,0,0,0,0,0,0,0
NIRRANDA SOUTH,1,0,1,0,0,0,0,0
MURRABIT,1,0,1,0,0,0,0,0
PIRRON YALLOCK,2,0,1,0,0,0,0,0
CLUNES,2,1,2,2,1,0,0,0
DIXIE,4,0,0,0,0,0,0,0
MARNOO,1,0,2,0,1,0,0,0
MAROONA,1,0,2,0,0,0,0,0
