suburb,livable,Commercial,Environment,Medication,Secrity,Industrial,Prison,Transportation,BUS,TRAM STATION,TRAIN STATION
CLIFTON SPRINGS,2.6999999999999997,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LITTLE RIVER,2.6999999999999997,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLEMINGTON,2.6500000000000004,1.0,4.0,1.0,1.0,0.0,0.0,18.0,4.0,13.0,1.0
CHELSEA,2.6500000000000004,1.0,1.0,2.0,1.0,0.0,0.0,30.0,29.0,0.0,1.0
UPWEY,2.6500000000000004,0.0,2.0,1.0,0.0,0.0,0.0,34.0,33.0,0.0,1.0
PORTARLINGTON,2.6,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AVONDALE HEIGHTS,2.6,1.0,1.0,0.0,1.0,0.0,0.0,42.0,42.0,0.0,0.0
ROSEDALE,2.6,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ALPHINGTON,2.6,0.0,3.0,1.0,0.0,0.0,0.0,27.0,26.0,0.0,1.0
SPOTSWOOD,2.5999999999999996,0.0,6.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,1.0
MOOROOPNA,2.5999999999999996,1.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MICKLEHAM,2.55,0.0,3.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0
ORMOND,2.5000000000000004,1.0,2.0,0.0,0.0,0.0,0.0,35.0,34.0,0.0,1.0
ECHUCA,2.5,3.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MARLO,2.5,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHURCHILL,2.5,0.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
WESTMEADOWS,2.5,0.0,1.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0
ASHWOOD,2.45,0.0,3.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0
MONTMORENCY,2.45,0.0,2.0,1.0,0.0,0.0,0.0,30.0,29.0,0.0,1.0
CLARINDA,2.4499999999999997,0.0,1.0,1.0,0.0,0.0,0.0,37.0,37.0,0.0,0.0
PARK ORCHARDS,2.4000000000000004,0.0,4.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0
PRAHRAN,2.4,1.0,0.0,1.0,0.0,0.0,0.0,39.0,13.0,25.0,1.0
BENALLA,2.4,2.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
COOLAROO,2.4,0.0,1.0,0.0,0.0,0.0,0.0,41.0,40.0,0.0,1.0
